notebook,cell_index,issue_type,severity,excerpt,suggested_fix
nb03_baseline_models.ipynb,8,hardcoded_feature_set_alr,WARN,"# Phase 3.3b: N_AUG sensitivity test
import time
import numpy as np
import pandas as pd
from scipy i",Reference 'per_family_winners' manifest for feature_set per pipeline
nb03_baseline_models.ipynb,9,hardcoded_feature_set_alr,WARN,"# ----- Error bar plot: RMSE vs n_aug -----
fig, axes = plt.subplots(2, 2, figsize=(14, 10))
panels ",Reference 'per_family_winners' manifest for feature_set per pipeline
nb03_baseline_models.ipynb,11,hardcoded_joblib,WARN,"# Phase 3.3b: Optuna TPE hyperparameter search (replaces HalvingRandomSearchCV).
# One study per (mo",Use canonical_model_filename() or load_canonical_model()
nb03_baseline_models.ipynb,21,hardcoded_joblib,WARN,"# Phase 3.5: per-family winner selection (v7 Part B)
#
# Two families (forest = RF+ERT, boosted = GB",Use canonical_model_filename() or load_canonical_model()
nb03_baseline_models.ipynb,33,hardcoded_joblib,WARN,"# Phase 3.9 (part A): produce the resampled opx-liq training set and save diagnostics.
from config i",Use canonical_model_filename() or load_canonical_model()
nb03_baseline_models.ipynb,37,hardcoded_joblib,WARN,"# Phase 3.10: Ridge stacking meta-model per (target, track).
from config import (
    STACKING_ALPHA",Use canonical_model_filename() or load_canonical_model()
nb03_baseline_models.ipynb,42,hardcoded_joblib,WARN,"# Figure: fig_nb03_optuna_search_progress
# 4x2 grid: rows = models (RF,ERT,XGB,GB), cols = targets ",Use canonical_model_filename() or load_canonical_model()
nb03_baseline_models.ipynb,43,hardcoded_joblib,WARN,"# Figure: fig_nb03_optuna_hyperparameter_importance
# Hyperparameter importance per base model, aver",Use canonical_model_filename() or load_canonical_model()
nb04_putirka_benchmark.ipynb,23,hardcoded_joblib,WARN,"# v8-fix: Putirka opx corrected API
# v7 Part H+: three-panel method benchmark across three scopes
i",Use canonical_model_filename() or load_canonical_model()
nb07_bias_correction.ipynb,9,hardcoded_joblib,WARN,"# Phase 7.4: QRF leakage A/B test - train-set coverage vs OOF coverage
# Track A (LEAK): QRF fit on ",Use canonical_model_filename() or load_canonical_model()
nb07_bias_correction.ipynb,13,hardcoded_joblib,WARN,"# Verification assertions
assert (RESULTS / 'nb07_ab_test_report.csv').exists()
assert (RESULTS / 'n",Use canonical_model_filename() or load_canonical_model()
nb07b_arcpl_bias_probe.ipynb,13,hardcoded_test_indices,BLOCKING,"arcpl_p6 = arcpl.copy().reset_index(drop=True)
# Group by Citation to prevent within-study leakage
a","Use data/splits/*.npy files via src.data loaders, not hardcoded indices"
nb09_manuscript_compilation.ipynb,3,hardcoded_joblib,WARN,"from src.data import canonical_model_spec
# Phase 9.EXT setup: extra imports + canonical model/data ",Use canonical_model_filename() or load_canonical_model()
nb09_manuscript_compilation.ipynb,7,hardcoded_joblib,WARN,# NOTE: The nb10_* filename prefix below is retained for manuscript stability. These files are produ,Use canonical_model_filename() or load_canonical_model()
nb09_manuscript_compilation.ipynb,10,hardcoded_joblib,WARN,# NOTE: The nb10_* filename prefix below is retained for manuscript stability. These files are produ,Use canonical_model_filename() or load_canonical_model()
nb09_manuscript_compilation.ipynb,13,hardcoded_joblib,WARN,# NOTE: The nb10_* filename prefix below is retained for manuscript stability. These files are produ,Use canonical_model_filename() or load_canonical_model()
