pipeline,track,target,model,feature_set,canonical_seed,winner_v1,winner_v2,winner_v3,flip_reason_v3,ship_a_v3,ship_b_v3,n_min_for_veto,degradation_tol_abs,degradation_tol_rel,n_seeds_done,note
opx,opx_liq,T_C,ElasticNet,raw,42,none,none,B,"v3_promoted_B: degradation within tolerance max(10, 0.1*pre)","{""ships"": false, ""overall_delta"": -0.10706975013637532, ""max_regime_degradation"": 18.67713191544027, ""reason"": ""overall delta -0.1071 <= tol 1e-06"", ""low_n"": ""{\""deeper_mantle\"": -44.45432224956995}""}","{""ships"": true, ""overall_delta"": 0.6451298231555995, ""max_regime_degradation"": 1.6137043267550126, ""reason"": ""ships: overall improves, no n>=20 regime degrades beyond tolerance (low-n non-vetoing: {'deeper_mantle': -23.108574249956916}) [tol_abs=10, tol_rel=0.1]"", ""low_n"": ""{\""deeper_mantle\"": -23.108574249956916}""}",20,10.0,0.1,20,
opx,opx_liq,P_kbar,MLP,raw,42,none,A,A,,"{""ships"": true, ""overall_delta"": 1.2330538725764004, ""max_regime_degradation"": -0.12569182219692432, ""reason"": ""ships: overall improves, no n>=20 regime degrades beyond tolerance (low-n non-vetoing: {'deeper_mantle': 3.150721009508344}) [tol_abs=1, tol_rel=0.1]"", ""low_n"": ""{\""deeper_mantle\"": 3.150721009508344}""}","{""ships"": false, ""overall_delta"": -0.12105776900483312, ""max_regime_degradation"": 0.43954158124814446, ""reason"": ""overall delta -0.1211 <= tol 1e-06"", ""low_n"": ""{\""deeper_mantle\"": 1.1316696017346723}""}",20,1.0,0.1,20,
opx,opx_only,T_C,LightGBM,alr,42,none,none,A,"v3_promoted_A: degradation within tolerance max(10, 0.1*pre)","{""ships"": true, ""overall_delta"": 24.563912121284304, ""max_regime_degradation"": 3.9025480171926006, ""reason"": ""ships: overall improves, no n>=20 regime degrades beyond tolerance [tol_abs=10, tol_rel=0.1]"", ""low_n"": ""{}""}","{""ships"": true, ""overall_delta"": 0.918669683054901, ""max_regime_degradation"": -0.05319656041460519, ""reason"": ""ships: overall improves, no n>=20 regime degrades beyond tolerance [tol_abs=10, tol_rel=0.1]"", ""low_n"": ""{}""}",20,10.0,0.1,20,
opx,opx_only,P_kbar,RF,pwlr,42,A,A,A,,"{""ships"": true, ""overall_delta"": 4.296315273476247, ""max_regime_degradation"": -4.154312265453318, ""reason"": ""ships: overall improves, no n>=20 regime degrades beyond tolerance [tol_abs=1, tol_rel=0.1]"", ""low_n"": ""{}""}","{""ships"": true, ""overall_delta"": 0.01290029698447448, ""max_regime_degradation"": 1.0934186867046805, ""reason"": ""ships: overall improves, no n>=20 regime degrades beyond tolerance [tol_abs=1, tol_rel=0.1]"", ""low_n"": ""{}""}",20,1.0,0.1,20,
cpx,cpx_liq,T_C,ERT,pwlr,42,none,none,A,"v3_promoted_A: degradation within tolerance max(10, 0.1*pre)","{""ships"": true, ""overall_delta"": 3.5490283060802312, ""max_regime_degradation"": 0.8988073571995585, ""reason"": ""ships: overall improves, no n>=20 regime degrades beyond tolerance [tol_abs=10, tol_rel=0.1]"", ""low_n"": ""{}""}","{""ships"": true, ""overall_delta"": 1.6092070442712156, ""max_regime_degradation"": 1.5664279511387207, ""reason"": ""ships: overall improves, no n>=20 regime degrades beyond tolerance [tol_abs=10, tol_rel=0.1]"", ""low_n"": ""{}""}",20,10.0,0.1,20,
cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,none,none,A,"v3_promoted_A: degradation within tolerance max(1, 0.1*pre)","{""ships"": true, ""overall_delta"": 0.8092910363757024, ""max_regime_degradation"": 0.916795918108253, ""reason"": ""ships: overall improves, no n>=20 regime degrades beyond tolerance [tol_abs=1, tol_rel=0.1]"", ""low_n"": ""{}""}","{""ships"": false, ""overall_delta"": -0.17389307646893215, ""max_regime_degradation"": 0.8488879029793459, ""reason"": ""overall delta -0.1739 <= tol 1e-06"", ""low_n"": ""{}""}",20,1.0,0.1,20,
cpx,cpx_only,T_C,ERT,pwlr,42,none,none,none,,"{""ships"": false, ""overall_delta"": -12.022671220444593, ""max_regime_degradation"": 31.182096254189617, ""reason"": ""overall delta -12.02 <= tol 1e-06"", ""low_n"": ""{}""}","{""ships"": false, ""overall_delta"": -7.5889039153110645, ""max_regime_degradation"": 27.684114857329718, ""reason"": ""overall delta -7.589 <= tol 1e-06"", ""low_n"": ""{}""}",20,10.0,0.1,20,
cpx,cpx_only,P_kbar,MLP,alr,42,A,A,A,,"{""ships"": true, ""overall_delta"": 2.411190684857621, ""max_regime_degradation"": -0.8532085044210582, ""reason"": ""ships: overall improves, no n>=20 regime degrades beyond tolerance [tol_abs=1, tol_rel=0.1]"", ""low_n"": ""{}""}","{""ships"": true, ""overall_delta"": 0.05728248010857584, ""max_regime_degradation"": 0.10423934054364103, ""reason"": ""ships: overall improves, no n>=20 regime degrades beyond tolerance [tol_abs=1, tol_rel=0.1]"", ""low_n"": ""{}""}",20,1.0,0.1,20,
opx,opx_liq,T_C,TabPFN,raw,42,none,none,none,,False,False,20,10.0,0.1,5,TabPFN has no OOF residuals; v1 verdict preserved
opx,opx_liq,P_kbar,TabPFN,raw,42,none,none,none,,False,False,20,1.0,0.1,5,TabPFN has no OOF residuals; v1 verdict preserved
