model,target,study,n_test,rmse,mean_y_held_out
RF,P_kbar,"Agee, C.B., Draper, D.S. (2004) Experimental constraints on the origin of Martian meteorites and the composition of the Martian mantle. Earth and Planetary Science Letters 224 415-429",4,21.981845056550007,49.24999952316275
RF,P_kbar,"Baker, M.B., Stolper, E.M. (1994) Determining the composition of high-pressure mantle melts using diamond aggregates. Geochimica et Cosmochimica Acta 58 2811-2827",2,5.936898917808613,5.000499999987369
RF,P_kbar,"Baker, R.B., Eggler, D.H. (1987) Compositions of anhydrous and hydrous melts coexisting with plagioclase, augite, and olivine or low-Ca pyrxene from 1 atm to 8 kbar: Application to the Aleutian volcanic center of Atka. American Mineralogist 72 12-28",4,2.3491274759329897,2.750000022351725
RF,P_kbar,"Barnes, S.J. (1986) The distribution of chromium among orthopyroxene, spinel and silicate liquid at atmospheric pressure. Geochimica et Cosmochimica Acta 50 1889-1909",34,6.054420339802462,0.001
RF,P_kbar,"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991) High pressure phase relations of primitive high-alumina basalts from Medicine Lake volcano, northern California. Contributions to Mineralogy and Petrology 108 253-270",3,1.519542459032934,13.333333333333334
RF,P_kbar,"Blatter, D.L., Carmichael, I.S.E. (2001) Hydrous phase equilibria of a Mexican high-silica andesite: A candidate for a mantle origin?. Geochimica et Cosmochimica Acta 65 4043-4065",17,0.7516917898608056,1.5210588407867087
RF,P_kbar,"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002) Experimental melting of a modally heterogeneous mantle. Mineralogy and Petrology 75 131-152",10,1.9151243005014198,12.0
RF,P_kbar,"Canil, D. (1999) Vanadium partitioning between orthopyroxene, spinel and silicate melt and the redox states of mantle source regions for primary magmas. Geochimica et Cosmochimica Acta 63 557-572",23,5.903069050186747,2.1748695652173913
RF,P_kbar,"Carroll, M.J., Wyllie, P.J. (1989) Experimental phase relations in the system tonalite-peridotite-H2O at 15kb; Implications for assimilation and differentiation processes near the crust-mantle boundary. Journal of Petrology 30 1351-1382",4,8.240394188949395,2.8752500894006348
RF,P_kbar,"Colson, R.O., Gust, D. (1989) Effects of pressure on partitioning of trace elements between low-Ca pyroxene and melt. American Mineralogist 74 31-36",3,10.344560564179703,16.666666666666668
RF,P_kbar,"Colson, R.O., McKay, G.A., Taylor, L.A. (1988) Temperature and composition dependencies of trace element partitioning: Olivine/melt and low-Ca pyroxene/melt. Geochimica et Cosmochimica Acta 52 539-553",4,5.737090362528348,0.001
RF,P_kbar,"Dalou, C., Koga, K.T., Shimizu, N., Boulon, J., Devidal, J.-L. (2012) Experimental determination of F and Cl partitioning between lherzolite and basaltic melt. Contributions to Mineralogy and Petrology 163 591-609",13,3.083682256862187,13.0
RF,P_kbar,"Davis, A.D., Hirschmann, M.M. (2013) The effects of K2O on the compositions of near-solidus melts of garnet peridotite at 3 GPa and the origin of basalts from enriched mantle. Contributions to Mineralogy and Petrology 166 1029-1046",9,6.248427112279873,30.0
RF,P_kbar,"Davis, F.A., Humayun, M., Hirschmann, M.M., Cooper, R.S. (2013) Experimentally determined mineral/melt partitioning of first-row transition elements (FRTE) during partial melting of peridotite at 3 GPa. Geochimica et Cosmochimica Acta 104 232-260",6,7.204769227639585,30.0
