pipeline,track,target,model,feature_set,canonical_seed,winner_v1,winner_v2,flip_reason,ship_a_v2,ship_b_v2,n_min_for_veto,n_seeds_done,note
opx,opx_liq,T_C,ElasticNet,raw,42,none,none,,"{""ships"": false, ""overall_delta"": -0.10706975013637532, ""max_regime_degradation"": 18.67713191544027, ""reason"": ""overall delta -0.1071 <= tol 1e-06"", ""low_n"": ""{\""deeper_mantle\"": -44.45432224956995}""}","{""ships"": false, ""overall_delta"": 0.6451298231555995, ""max_regime_degradation"": 1.6137043267550126, ""reason"": ""regime worst degradation +1.614 > tol 1e-06 (n >= 20)"", ""low_n"": ""{\""deeper_mantle\"": -23.108574249956916}""}",20,20,
opx,opx_liq,P_kbar,MLP,raw,42,none,A,v2_promoted_A:deeper_mantle_n<20,"{""ships"": true, ""overall_delta"": 1.2330538725764004, ""max_regime_degradation"": -0.12569182219692432, ""reason"": ""ships: overall improves, no n>=20 regime degrades (low-n non-vetoing: {'deeper_mantle': 3.150721009508344})"", ""low_n"": ""{\""deeper_mantle\"": 3.150721009508344}""}","{""ships"": false, ""overall_delta"": -0.12105776900483312, ""max_regime_degradation"": 0.43954158124814446, ""reason"": ""overall delta -0.1211 <= tol 1e-06"", ""low_n"": ""{\""deeper_mantle\"": 1.1316696017346723}""}",20,20,
opx,opx_only,T_C,LightGBM,alr,42,none,none,,"{""ships"": false, ""overall_delta"": 24.563912121284304, ""max_regime_degradation"": 3.9025480171926006, ""reason"": ""regime worst degradation +3.903 > tol 1e-06 (n >= 20)"", ""low_n"": ""{}""}","{""ships"": false, ""overall_delta"": 0.918669683054901, ""max_regime_degradation"": 0.4643064413418756, ""reason"": ""regime worst degradation +0.4643 > tol 1e-06 (n >= 20)"", ""low_n"": ""{}""}",20,20,
opx,opx_only,P_kbar,RF,pwlr,42,A,A,,"{""ships"": true, ""overall_delta"": 4.296315273476247, ""max_regime_degradation"": -4.154312265453318, ""reason"": ""ships: overall improves, no n>=20 regime degrades"", ""low_n"": ""{}""}","{""ships"": false, ""overall_delta"": 0.01290029698447448, ""max_regime_degradation"": 1.0934186867046805, ""reason"": ""regime worst degradation +1.093 > tol 1e-06 (n >= 20)"", ""low_n"": ""{}""}",20,20,
cpx,cpx_liq,T_C,ERT,pwlr,42,none,none,,"{""ships"": false, ""overall_delta"": 3.5490283060802312, ""max_regime_degradation"": 0.8988073571995585, ""reason"": ""regime worst degradation +0.8988 > tol 1e-06 (n >= 20)"", ""low_n"": ""{}""}","{""ships"": false, ""overall_delta"": 1.6092070442712156, ""max_regime_degradation"": 1.5664279511387207, ""reason"": ""regime worst degradation +1.566 > tol 1e-06 (n >= 20)"", ""low_n"": ""{}""}",20,20,
cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,none,none,,"{""ships"": false, ""overall_delta"": 0.8092910363757024, ""max_regime_degradation"": 0.916795918108253, ""reason"": ""regime worst degradation +0.9168 > tol 1e-06 (n >= 20)"", ""low_n"": ""{}""}","{""ships"": false, ""overall_delta"": -0.17389307646893215, ""max_regime_degradation"": 0.8488879029793459, ""reason"": ""overall delta -0.1739 <= tol 1e-06"", ""low_n"": ""{}""}",20,20,
cpx,cpx_only,T_C,ERT,pwlr,42,none,none,,"{""ships"": false, ""overall_delta"": -12.022671220444593, ""max_regime_degradation"": 31.182096254189617, ""reason"": ""overall delta -12.02 <= tol 1e-06"", ""low_n"": ""{}""}","{""ships"": false, ""overall_delta"": -7.5889039153110645, ""max_regime_degradation"": 27.684114857329718, ""reason"": ""overall delta -7.589 <= tol 1e-06"", ""low_n"": ""{}""}",20,20,
cpx,cpx_only,P_kbar,MLP,alr,42,A,A,,"{""ships"": true, ""overall_delta"": 2.411190684857621, ""max_regime_degradation"": -0.8532085044210582, ""reason"": ""ships: overall improves, no n>=20 regime degrades"", ""low_n"": ""{}""}","{""ships"": false, ""overall_delta"": 0.05728248010857584, ""max_regime_degradation"": 0.2530957516176855, ""reason"": ""regime worst degradation +0.2531 > tol 1e-06 (n >= 20)"", ""low_n"": ""{}""}",20,20,
opx,opx_liq,T_C,TabPFN,raw,42,none,none,,False,False,20,5,TabPFN has no OOF residuals; v1 verdict preserved
opx,opx_liq,P_kbar,TabPFN,raw,42,none,none,,False,False,20,5,TabPFN has no OOF residuals; v1 verdict preserved
opx,opx_only,T_C,TabPFN,raw,42,A,A,,True,False,20,5,TabPFN has no OOF residuals; v1 verdict preserved
opx,opx_only,P_kbar,TabPFN,raw,42,A,A,,True,False,20,5,TabPFN has no OOF residuals; v1 verdict preserved
cpx,cpx_liq,T_C,TabPFN,raw,42,excluded,excluded,,"{""form"": ""excluded"", ""ships"": false, ""reason"": ""no OOF residuals available: TabPFN v2 is an in-context foundation model with a single forward pass and no training step that yields holdout residuals across folds. Bias correction requires OOF residuals to fit the regime-piecewise (form A) or sigmoid-blend (form B) corrections.""}","{""form"": ""excluded"", ""ships"": false, ""reason"": ""no OOF residuals available: TabPFN v2 is an in-context foundation model with a single forward pass and no training step that yields holdout residuals across folds. Bias correction requires OOF residuals to fit the regime-piecewise (form A) or sigmoid-blend (form B) corrections.""}",20,20,TabPFN has no OOF residuals; v1 verdict preserved
cpx,cpx_liq,P_kbar,TabPFN,raw,42,excluded,excluded,,"{""form"": ""excluded"", ""ships"": false, ""reason"": ""no OOF residuals available: TabPFN v2 is an in-context foundation model with a single forward pass and no training step that yields holdout residuals across folds. Bias correction requires OOF residuals to fit the regime-piecewise (form A) or sigmoid-blend (form B) corrections.""}","{""form"": ""excluded"", ""ships"": false, ""reason"": ""no OOF residuals available: TabPFN v2 is an in-context foundation model with a single forward pass and no training step that yields holdout residuals across folds. Bias correction requires OOF residuals to fit the regime-piecewise (form A) or sigmoid-blend (form B) corrections.""}",20,20,TabPFN has no OOF residuals; v1 verdict preserved
cpx,cpx_only,T_C,TabPFN,raw,42,excluded,excluded,,"{""form"": ""excluded"", ""ships"": false, ""reason"": ""no OOF residuals available: TabPFN v2 is an in-context foundation model with a single forward pass and no training step that yields holdout residuals across folds. Bias correction requires OOF residuals to fit the regime-piecewise (form A) or sigmoid-blend (form B) corrections.""}","{""form"": ""excluded"", ""ships"": false, ""reason"": ""no OOF residuals available: TabPFN v2 is an in-context foundation model with a single forward pass and no training step that yields holdout residuals across folds. Bias correction requires OOF residuals to fit the regime-piecewise (form A) or sigmoid-blend (form B) corrections.""}",20,20,TabPFN has no OOF residuals; v1 verdict preserved
cpx,cpx_only,P_kbar,TabPFN,raw,42,excluded,excluded,,"{""form"": ""excluded"", ""ships"": false, ""reason"": ""no OOF residuals available: TabPFN v2 is an in-context foundation model with a single forward pass and no training step that yields holdout residuals across folds. Bias correction requires OOF residuals to fit the regime-piecewise (form A) or sigmoid-blend (form B) corrections.""}","{""form"": ""excluded"", ""ships"": false, ""reason"": ""no OOF residuals available: TabPFN v2 is an in-context foundation model with a single forward pass and no training step that yields holdout residuals across folds. Bias correction requires OOF residuals to fit the regime-piecewise (form A) or sigmoid-blend (form B) corrections.""}",20,20,TabPFN has no OOF residuals; v1 verdict preserved
